,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-28,2025-07-29,2025-07-30,2025-07-31
Res1,M,M,A,*,M,M,M,M,M,M,M,M,.,M,M,.,.,M,.,M,-,M,.
Res2,-,M,M,M,M,M,A,A,*,M,M,M,M,A,.,.,M,.,M,M,.,M,.
Res3,M,M,M,A,A,A,A,-,*,M,M,M,M,M,.,.,M,.,M,.,A,.,M
Res4,A,.,M,*,-,.,.,M,M,.,.,.,M,M,M,M,M,M,A,A,A,A,A
Res5,M,M,M,M,M,M,M,M,M,A,.,.,.,M,.,M,.,*,*,M,M,-,M
Res6,A,A,-,M,M,M,M,.,A,.,.,.,.,.,A,A,A,A,*,M,M,M,A
Res7,M,*,*,M,.,A,.,M,M,M,M,M,M,-,M,M,.,M,M,A,.,A,.
Res8,-,.,*,*,A,.,M,A,A,A,A,A,A,.,M,M,M,M,M,.,M,.,M
Res9,.,A,A,A,.,.,-,*,*,.,A,A,A,A,A,A,A,A,A,.,M,M,M
